entity_type,entity_key,field,override_value,reason,source_note,overridden_by,overridden_at
hospital,pondok indah,preferred_rank_group,RS Pondok Indah,"OSM name tag 'RS PONDOK INDAH' matches the substring heuristic textually but was left preferred_rank_group=None in an earlier run; this is the RS Pondok Indah flagship branch (RS Pondok Indah - Pondok Indah in scraper output) at (-6.2838411, 106.7815932), a different location from the already-tagged Bintaro branch.",Fase 4.5 pipeline unmatched-hospital-name investigation 2026-08-08,claude,2026-08-08T00:00:00
hospital,puri indah pondok indah,preferred_rank_group,RS Pondok Indah,"OSM name tag 'RSU PURI INDAH PONDOK INDAH' at (-6.1859889, 106.7353186) is in the Kembangan/Puri Indah area of West Jakarta, matching RS Pondok Indah's 'Puri Indah' branch location (distinct from the South Jakarta flagship and Bintaro branches) reported in src/scrapers/rs_pondok_indah.py scrape output.",Fase 4.5 pipeline unmatched-hospital-name investigation 2026-08-08; user confirmed 2026-08-08 but explicitly declined a similar override for RS GRHA KEDOYA -> EMC (kept as its own separate registry entry),claude,2026-08-08T00:00:00
hospital,RS Pondok Indah - Puri Indah,hospital_name_alias,RSU PURI INDAH PONDOK INDAH,"Same institution as the row above, but fuzzy matching (min of token_sort_ratio=100 and ratio=65.2) falls below the 80 threshold because the two compound place-name tokens (Puri Indah / Pondok Indah) appear in swapped order between the scraper's name and OSM's name -- ratio is order-sensitive by design (guards against unrelated same-token-bag names), so this specific confirmed pair needs a direct alias override rather than a threshold change.",Fase 4.5 pipeline unmatched-hospital-name investigation 2026-08-08,claude,2026-08-08T00:00:00
hospital,"Siloam Hospital|-6.2250421|106.5979602",duplicate_of,"Siloam Hospital Lippo Village|-6.2251927|106.5985479","OSM has a brand-only-named entry ('Siloam Hospital', no branch identifier) 67m from the fully-named 'Siloam Hospital Lippo Village' which already has scraped dermatologist data -- almost certainly the same real institution, Fase 1's name-similarity-first automated dedup did not catch it because the names are too different textually despite the tiny distance.",Dashboard review 2026-08-08 -- user confirmed this pair specifically (NOT the separate 'Rumah Sakit Siloam' vs 'RS Siloam Kebon Jeruk' pair investigated in the same session and explicitly declined),claude,2026-08-08T00:00:00
hospital,"Rumah Sakit Pondok Indah|-6.1861872|106.7354015",duplicate_of,"RSU PURI INDAH PONDOK INDAH|-6.1859889|106.7353186","24m apart, both already independently confirmed as the RS Pondok Indah Puri Indah branch (see the two preferred_rank_group/hospital_name_alias override rows above for this same coordinate) -- 'Rumah Sakit Pondok Indah' is a second, brand-only-named OSM entry for the identical location.",Dashboard review 2026-08-08,claude,2026-08-08T00:00:00
hospital,"Rumah Sakit Mitra Keluarga|-6.1518769|106.897148",duplicate_of,"RS MITRA KELUARGA KELAPA GADING|-6.1518139|106.89704","14m apart -- brand-only-named OSM entry for the same location as the fully-named, already-scraped Kelapa Gading branch.",Dashboard review 2026-08-08,claude,2026-08-08T00:00:00
hospital,"Siloam Hospitals|-6.2926861|106.7843997",duplicate_of,"RS SILOAM TB SIMATUPANG|-6.2922458|106.7843724","49m apart -- brand-only-named OSM entry for the same location as the fully-named, already-scraped TB Simatupang branch.",Dashboard review 2026-08-08,claude,2026-08-08T00:00:00
hospital,"Rumah Sakit Siloam|-6.1911419|106.7638204",duplicate_of,"RS SILOAM KEBON JERUK|-6.1908388|106.7637229","35m apart -- brand-only-named OSM entry for the same location as the fully-named, already-scraped Kebon Jeruk branch. NOTE: this is a DIFFERENT Hospital row than the other 'Rumah Sakit Siloam' entry at (-6.21909, 106.8171913, Jalan Karet Pasar) -- OSM has two separate hospitals sharing this exact name string; user confirmed 2026-08-08 the Karet Pasar one is MRCCC Siloam Semanggi (a distinct institution, NOT a duplicate -- see the hospital_name_alias row below instead) while THIS one (no address, near Kebon Jeruk) is the duplicate.",Dashboard review 2026-08-08 -- user confirmed after initially declining, once distance was re-verified against the correct one of the two same-named rows,claude,2026-08-08T00:00:00
hospital,MRCCC Siloam Hospitals Semanggi,hospital_name_alias,Rumah Sakit Siloam|-6.21909|106.8171913,"OSM only has this hospital tagged as the bare brand name 'Rumah Sakit Siloam' (address 'Jalan Karet Pasar No. 2-3', Karet Semanggi/Setiabudi, South Jakarta) -- no 'MRCCC'/'Semanggi' substring for fuzzy matching to find at all. User confirmed 2026-08-08 this IS MRCCC Siloam Semanggi. Unlike other hospital_name_alias rows, the override_value here is 'name|lat|lon' (not a bare name) because OSM has a SECOND, unrelated 'Rumah Sakit Siloam' row (near Kebon Jeruk, see the duplicate_of row above) -- match_hospital_by_name's normal name-only lookup can't disambiguate between the two, so this alias needs the coordinate-qualified resolution path.",Fase 4.5 pipeline unmatched-hospital-name investigation 2026-08-08 (originally listed as unmatched); resolved via dashboard review 2026-08-08,claude,2026-08-08T00:00:00
hospital,Mayapada Hospital Tangerang,hospital_name_alias,Mayapada Hospital|-6.2050819|106.6416332,"OSM tagged this branch just 'Mayapada Hospital' with address 'Jalan Honoris Raya Kav. 6 Modernland - Tangerang' -- address confirms it's the Tangerang branch, but the bare brand name has no 'Tangerang' substring for fuzzy matching. Coordinate-qualified because OSM has a SECOND 'Mayapada Hospital' row (near Kuningan/South Jakarta, no address, plausibly Jakarta Selatan but NOT confirmed -- left as a separate unresolved gap, see src/scrapers/pipeline.py module docstring) that a bare-name alias could wrongly match instead.",Dashboard review 2026-08-08 -- user confirmed,claude,2026-08-09T00:00:00
