name,group,ownership,hospital_type,address,kota_kab,lat,lon,geocode_source,geocode_confidence,website,source_url,geocode_source_url,source_note,verified_at
Brawijaya Hospital - Tangerang,Brawijaya,swasta,umum,"Jl. KH. Mas Mansyur No. 2, Kunciran, Pinang, Tangerang",Kota Tangerang,-6.2270328,106.683504,google_maps_place,medium,https://brawijayahospital.com/location/brawijaya-hospital-tangerang,https://brawijayahospital.com/location/brawijaya-hospital-tangerang/address,https://www.google.com/maps?q=Brawijaya%20Hospital%20Tangerang,"Official branch page supplies the name/address; Google Maps place result supplies the building coordinate.",2026-08-09T00:00:00
EKA Hospital Bekasi,Eka Hospital,swasta,umum,"Kota Harapan Indah Blok I2-9 No. 9, Kabupaten Bekasi 17214",Kabupaten Bekasi,-6.15934059554062,106.97118811494713,official_embedded_map,high,https://www.ekahospital.com/hospital/eka-hospital-bekasi,https://www.ekahospital.com/hospital/eka-hospital-bekasi,https://www.ekahospital.com/hospital/eka-hospital-bekasi,"Official branch page embeds the map and supplies the address.",2026-08-09T00:00:00
EKA Hospital Depok,Eka Hospital,swasta,umum,"Jl. Margonda Raya No. 222 A, Kemiri Muka, Beji, Kota Depok",Kota Depok,-6.3836561,106.8291586,official_embedded_map,high,https://www.ekahospital.com/hospital/eka-hospital-depok,https://www.ekahospital.com/hospital/eka-hospital-depok,https://www.ekahospital.com/hospital/eka-hospital-depok,"Official branch page embeds the map and supplies the address.",2026-08-09T00:00:00
EKA Hospital MT Haryono,Eka Hospital,swasta,umum,"Jl. MT Haryono Kav. 1-3, Kebon Baru, Tebet, Jakarta Selatan 12830",Kota Jakarta Selatan,-6.243432630391016,106.85687317726814,official_embedded_map,high,https://www.ekahospital.com/hospital/eka-hospital-mt-haryono,https://www.ekahospital.com/hospital/eka-hospital-mt-haryono,https://www.ekahospital.com/hospital/eka-hospital-mt-haryono,"Official branch page embeds the map and supplies the address.",2026-08-09T00:00:00
EKA Hospital Permata Hijau,Eka Hospital,swasta,umum,"Jl. Raya Kebayoran Lama No. 64, Kebon Jeruk, Jakarta Barat 11560",Kota Jakarta Barat,-6.2181589,106.7779555,official_embedded_map,high,https://www.ekahospital.com/hospital/eka-hospital-permata-hijau,https://www.ekahospital.com/hospital/eka-hospital-permata-hijau,https://www.ekahospital.com/hospital/eka-hospital-permata-hijau,"Official branch page embeds the map and supplies the address; the embedded place retains the facility's former name RS Medika Permata Hijau.",2026-08-09T00:00:00
RSIA Eka Hospital PIK,Eka Hospital,swasta,ibu_anak,"Komplek Elang Laut Boulevard, Jl. Pantai Indah Selatan 1 No. 1, Jakarta Utara 14470",Kota Jakarta Utara,-6.122964095566539,106.73660641476864,official_embedded_map,high,https://www.ekahospital.com/hospital/rsia-eka-hospital-pik,https://www.ekahospital.com/hospital/rsia-eka-hospital-pik,https://www.ekahospital.com/hospital/rsia-eka-hospital-pik,"Official branch page embeds the map and supplies the address; the embedded place retains the former Grand Family name.",2026-08-09T00:00:00
RSIA Eka Hospital Pluit,Eka Hospital,swasta,ibu_anak,"Komplek Pluit Mas, Jl. Pluit Mas Raya 1 Blok A 2A-4, Jakarta Utara 14450",Kota Jakarta Utara,-6.13367844757945,106.78599916393597,official_embedded_map,high,https://www.ekahospital.com/hospital/rsia-eka-hospital-pluit,https://www.ekahospital.com/hospital/rsia-eka-hospital-pluit,https://www.ekahospital.com/hospital/rsia-eka-hospital-pluit,"Official branch page embeds the map and supplies the address; the embedded place retains the former Family Hospital name.",2026-08-09T00:00:00
Hermina Ciledug,Hermina,swasta,umum,"Jl. Cipto Mangunkusumo No. 3, Sudimara Timur, Kota Tangerang, Banten 15151",Kota Tangerang,-6.2303041,106.721512,google_maps_place,medium,https://herminahospitals.com/id/branch/Hermina%20Ciledug/doctors,https://appointment.herminahospitals.com/id/doctors/dr-carolina-spa/appointments/new.html,https://www.google.com/maps?q=Hermina%20Ciledug,"Official Hermina appointment page supplies the full address; Google Maps place result supplies the building coordinate.",2026-08-09T00:00:00
Mayapada Hospital Jakarta Timur,Mayapada,swasta,umum,"Jl. Raya Kalimalang No. 1, Cipinang Melayu, Jakarta Timur 13620",Kota Jakarta Timur,-6.1724687,106.9587218,google_maps_place,medium,https://mayapadahospital.com/hospital/mayapada-hospital-jakarta-timur,https://mayapadahospital.com/hospital/mayapada-hospital-jakarta-timur,https://www.google.com/maps?q=Mayapada%20Hospital%20Jakarta%20Timur,"Official hospital page and doctor listing establish the branch; Google Maps place result supplies the building coordinate.",2026-08-09T00:00:00
Mitra Keluarga Grand Wisata,Mitra Keluarga,swasta,umum,"Jl. Boulevard Grand Wisata, Lambangsari, Tambun Selatan, Kabupaten Bekasi 17510",Kabupaten Bekasi,-6.2735237,107.044851,google_maps_place,medium,https://www.mitrakeluarga.com/,https://services.mitrakeluarga.com/clinic-v2/v1/master-data/doctor/data,https://www.google.com/maps?q=Mitra%20Keluarga%20Grand%20Wisata,"Official Mitra Keluarga API establishes the branch and dermatologist records; Kemkes SIRS confirms the address; Google Maps place result supplies the building coordinate.",2026-08-09T00:00:00
